,English,Russian
1,Aerosol,Аэрозоли
2,Afforestation,Посадка лесов
3,Air pollution,Загрязнение воздуха
4,Albedo,Альбедо
5,Anomaly,Аномалия
6,Anthropogenic emissions,Антропогенные выбросы
7,Atmosphere,Атмосфера
8,Carbon dioxide (CO2),Углекислый газ
9,Climate change,Изменение климата
10,Climate extreme (extreme weather or climate event),Экстремальные погодные события
11,Deforestation,Вырубка лесов
12,Drought,Засуха
13,Disaster,Стихийное бедствие
14,Extreme weather event,Экстремальное погодное событие
15,Extreme climate event,Экстремальное климатическое событие
16,Flood,Наводнение
17,Fossil fuel,Ископаемое топливо
18,Glacier,Ледник
19,Global mean surface temperature (GMST),Средняя глобальная температура поверхности
20,Global warming,Глобальное потепление
21,Greenhouse gas (GHG),Парниковый газ
22,Hazard,Опасность
23,Heat wave,Аномальная жара
24,Ice sheet,Ледяной покров
25,Land surface air temperature,Температура воздуха у поверхности земли 
26,Megadrought,Мегазасуха
27,Methane (CH4),Метан (CH4)
28,Nitrous oxide (N2O),Закись азота
29,Ocean acidification (OA),Подкисление океана
30,Ozone (O3),Озон (O3)
31,Permafrost,Вечная мерзлота
32,pH,pH
33,Reforestation,Восстановление леса
34,Sea ice,Морской лед
35,Sea surface temperature,Температура морской поверхности
36,Surface temperature,Поверхностная температура
37,Soil moisture,Влажность почвы
38,Tropical cyclone,Ураган
