username,created_at,tweet,likes_count,retweets_count,urls,
username,created_at,tweet,likes_count,retweets_count,urls,
nytimes,2021-08-09 12:45:05 MSK,"Global warming will get progressively worse and cannot be stopped over the next 30 years, a major new UN report has concluded, because the world's nations delayed so long in curbing emissions. A hotter future is now essentially locked in. https://t.co/tMnu8VJMpo",18164,9935,https://nyti.ms/3CnXk6G,
reuters,2021-09-28 17:30:01 MSK,"‘Thirty years of blah, blah, blah,’ @GretaThunberg told the opening session of a Youth4Climate event, striking a skeptical tone for this week’s climate talks in Italy https://t.co/mskHfSsG9c https://t.co/qWFcqjTAVs",3086,976,https://reut.rs/2Wi7K7F,
reuters,2022-01-18 17:37:35 MSK,"All the homes on one of Tonga's small outer islands were destroyed in the massive volcanic eruption and tsunami, with three people so far confirmed dead, the government said in its first update since the disaster hit https://t.co/Hkc0YrwA1M 1/5 https://t.co/9Duj2Dyjru",1057,756,https://reut.rs/329JK9T,
nytimes,2021-04-16 21:10:18 MSK,Interior Secretary Deb Haaland on Friday revoked Trump-era orders that promoted fossil fuel development on public lands and waters. She also moved to make climate change a priority in agency decisions. https://t.co/UDDpy9wDyy,14390,2438,https://nyti.ms/3uTkPjy,
reuters,2021-12-12 02:10:10 MSK,Biden approves Kentucky emergency declaration for tornado disaster https://t.co/WelVDctmZM https://t.co/TRKHLaE3zF,776,164,http://reut.rs/3ygz8Bw,
reuters,2021-08-09 18:23:06 MSK,"Already, greenhouse gas levels in the atmosphere are high enough to guarantee climate disruption for decades if not centuries, scientists warn in a report from the Intergovernmental Panel on Climate Change https://t.co/qJAD7iNX4a",614,369,https://reut.rs/3lKMjGC,
reuters,2021-09-09 06:30:00 MSK,Apples the size of pearls: A Russian gardener grows this special breed of apples which can withstand the extreme weather conditions in Siberia https://t.co/wGbglLqEJj,590,179,https://t.co/wGbglLqEJj,
reuters,2022-01-20 07:55:22 MSK,Peru says oil spill caused by Tonga waves is an 'ecological disaster' https://t.co/7JjocmC9s2 https://t.co/4dYzw4aYGL,573,346,http://reut.rs/33Cwvz3,
washingtonpost,2021-05-24 18:07:33 MSK,"President Biden will announce Monday afternoon that he’s doubling the amount of money the U.S. government will spend helping communities prepare for extreme weather events, while launching a new effort at NASA to collect more sophisticated climate data. https://t.co/WCKECCvIfM",3775,1032,https://wapo.st/3yzEGH9,
reuters,2021-09-15 11:00:00 MSK,"Scientists in Germany potty-train cows to reduce greenhouse gas emissions. After weeks of training, 11 out of 16 calves had been successfully toilet-trained 🐄 https://t.co/nIJcAYUGjh",542,163,https://t.co/nIJcAYUGjh,
